"","","cIfeQ515","t2lzh918","5KTmnC80","8bWxTQTP","MrF79raA","I94q8zpE","vqHfQURj","IEugXXTw","B89","0U9","aMQ","IES","EM3","DYP","r5M","4zB","unU","wfm","nEo","xov","24a"
"ID","Name","Author Firstname","Author Surname","ISBN","Image URL Large","Image URL Thumb","Number of Pages","Soundcloud Track ID","Synopsis","Easy to Read_Challenging","Fantasy_Reality","Funny_Serious","Historical_Futuristic","Less Action_More Action","Australian","Has audio review","Long","Medium","Series","Series lead","Short","VPRC"
"HlwCMC57"," A Story Like the Wind","Gil","Lewis","9780802855145","http://cdn.bookfish.net.au/covers/9780802855145/default.jpg","http://cdn.bookfish.net.au/covers/9780802855145/thumb.jpg","80","","Rami uses the gift of music to cheer up other refugees while they struggle on their journey to safety. ","10","15","20","10","13","0","0","0","1","0","0","0","1"
"dVDfsFK1","4F for Freaks","Leigh","Hobbs","9781741140910","","http://cdn.bookfish.net.au/covers/9781741140910/small.jpg","96","","It's Miss Corker's first day at her new school (in fact, it's her first day at any school) and she is looking forward to meeting her class ... Leigh Hobbs turns his sharply observant eyes to the oddballs and misfits in Grade 4 in this absolutely hilarious illustrated story for 7-11 year olds.","6","16","6","10","9","1","0","0","1","0","0","0","1"
"ARf2FrEV","500 Minutes of Danger","Jack","Heath","9781743816493","http://cdn.bookfish.net.au/covers/9781743816493/default.jpg","http://cdn.bookfish.net.au/covers/9781743816493/small.jpg","185","","Bobby wakes up somewhere dark, enclosed. Has he been buried alive? Ella's trapped in quicksand. Will she escape before one of the jungle predators finds her? Kelsey's found a giant crocodile that's about to attack the city. Read 10 new dangerous stories, in 500 minutes of reading time.
","14","17","18","10","19","1","0","1","0","1","1","0","1"
"T2LMp63v","A Bear Called Paddington","Michael","Bond; Peggy Fortnum (Illustrator)","9780007261963","","http://cdn.bookfish.net.au/covers/9780007261963/small.jpg","144","","""A bear on Paddington Station?"" said Mrs Brown in amazement. ""Don't be silly, Henry. There can't be.""Paddington Bear had travelled all the way from darkest Peru when the Brown family first met him on Paddington station. Since then their lives have never been quite the same... for ordinary things become quite extraordinary when a bear called Paddington is involved.

","8","9","10","10","8","0","0","0","1","1","1","0","1"
"LqFeQmIH","A Christmas Tale","Geronimo.","Stilton","9780439791311","","http://cdn.bookfish.net.au/covers/9780439791311/small.jpg","64","","Celebrate the holidays in style -- mouse-style, that is! Join Geronimo for his first-ever special edition.
It was Christmastime on Mouse Island, and I couldn't wait to celebrate with my friends and family. But then I discovered that they were all traveling out of town for the holidays, and I'd be spending Christmas alone! I was starting to feel like a real grinch. Would this be my loneliest Christmas ever?","8","5","11","10","15","0","0","0","0","1","0","1","1"
"oLWryU8F","A Different Dog","Paul","Jennings","9781760296469","http://cdn.bookfish.net.au/covers/9781760296469/default.jpg","http://cdn.bookfish.net.au/covers/9781760296469/small.jpg","81","","The forest is dense and dark and the trail is full of unexpected perils. The dog can't move and the boy can't talk. You won't know why, or where you are going. The unforgettable story of a boy, a dog and a daring rescue.","8","20","20","10","13","1","0","0","1","0","0","0","1"
"JHbW86UP","A Fabumouse Vacation for Geronimo","Geronimo.","Stilton","9780439559713","","http://cdn.bookfish.net.au/covers/9780439559713/small.jpg","128","","Enter the world of Geronimo Stilton, where another funny adventure is always right around the corner. Each book is a fast-paced adventure with lively art and a unique format kids 7-10 will love.  

   

   

 Sometimes a busy businessmouse like me needs a nice, relaxing vacation. But of all the rotten rats' luck -- every time I tried to get away, disaster struck. My aunt Dizzy Fur's mouse hole caught on fire, my office was flooded, and our printing press broke down! When I was finally ready to depart, all the good trips were booked up. I was stuck in a flea-ridden old hotel, sharing a room with a bunch of Gerbil Scouts! I couldn't wait to get back to my comfy home in New Mouse City....","8","5","10","10","16","0","0","0","1","1","0","0","1"
"yMktjDd2","A Friend for Old Tom","Leigh","Hobbs","9780143302926","","http://cdn.bookfish.net.au/covers/9780143302926/small.jpg","96","","Angela Throgmorton lives alone and likes it that way. Then one day a baby monster turns up on her doorstep and Angela's life is never the same again... The hilarious story about a naughty and lovable character and how he found a place to call home. '... inspired and original, children will be laughing in the aisles' The Guardian UK 'Leigh Hobbs' illustrations are a joy, full of wit and verve' The Sunday Age

","5","9","2","10","10","1","0","0","1","1","0","0","1"
"1cVhZHSd","A Giant Problem","Holly","Black; Tony DiTerlizzi (Illustrator)","9780689871320","","http://cdn.bookfish.net.au/covers/9780689871320/small.jpg","176","","Talk about out of the frying pan, into the fire! I was pretty sure that my freaky stepsister and that freaky field guide of hers would ruin my life. But now it looks like they're going to ruin all of Florida, too! Okay, maybe that's not fair. Maybe all these stupid giants would be waking up anyway, but if it wasn't for her and that book, I'd be home playing video games and this would be someone else's giant problem!

","12","2","9","9","16","0","0","1","0","1","1","0","1"
